Country Code,Location,Date ,"Prevalence/100,000",Reference,Website
AU,Australia (Queensland),1976,5.8,(Wallace & Parker 1979),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/australia/
AT,Austria,1993-1997,10,(Laccone et al 1999),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
AZ,Azerbaijan,1985,23.8,(Al-Jader et al 2001),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/asia/
BE,"Belgium (Liege, Limbourg, Namur, Luxembourg)",1970,1.6,(Husquinet 1973),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
CA,Canada (Manitoba & Saskatchewan),1975,8.4,(Shokeir 1975),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/helpful-links/#living-with-hd
CN,China (Hong Kong),1984-1991,0.4,(Leung et al 1992),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/asia/
HR,Croatia,2002,1,(Hecimovic et al 2002),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
EG,Egypt (Assiut),1988-1990,21,(Kandil et al 1994),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/population-genetics-and-hd/#africa
FI,Finland,1986,0.5,(Palo et al 1987),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
FR,France (North-West),,5,(Petit & Salomez 1985),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
DE,Germany,1993-1997,10,(Laccone et al 1999),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
IS,Iceland,1963,2.7,(Gudmundsson 1969),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
IN,"India (Pakistan, Punjab and Gujerat)",1990,1.7,(Shiwach & Lindenbaum 1990),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/asia/
IT,Italy (Florence),1970-1979,4.1,(Groppi et al 1986),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
JP,Japan (Aichi),1959,0.4,(Kishimoto et al 1957),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/asia/
MR,Mauritius (European descent),1977,46.2,(Hayden et al 1981),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
MX,Mexico,2008,4,(Alonso et al 2009),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/helpful-links/#living-with-hd
NZ,New Zealand,,5.7,(Harper 1996),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/australia/
NG,Nigeria (Ibadan),,0.2,(Aiyesimoju et al 1984),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/population-genetics-and-hd/#africa
NO,Norway,1950,5.8,(Saugstad & Odegård 1986),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
PL,Poland (Pruszkow),1960,4.8,(Al-Jader et al 2001),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
RU,Russia (Vladimir Oblast),,1.9,(Kirilenko et al 2004),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
SI,Slovenia,2006,5.2,(Peterlin et al 2008),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
ZA,South Africa (White and Coloured population),1979,2.2,(Hayden et al 1980),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/population-genetics-and-hd/#africa
ES,Spain (Valencia),1987-1992,5.4,(Burguera et al 1997),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
SE,Sweden,1985,5.6,(Al-Jader et al 2001),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
CH,Switzerland,1993-1997,10,(Laccone et al 1999),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
TZ,"Tanzania (Mount Kilimanjaro, Bantu community)",1980,7,(Scrimgeour 1981),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/population-genetics-and-hd/#africa
GB,"UK (England, Oxford region)",1985,5.7,(Shiwach 1994),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
IE,"UK (Ireland, Northern)",1991,6.4,(Morrison et al 1995),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/europe/
US,USA (Maryland),1980,5.2,(Folstein et al 1987),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/helpful-links/#living-with-hd
VE,Venezuela (Lake Maracaibo),1973,699.3,(Avila-Giron 1973),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/category/global-hd/south-america/
ZW,"Zimbabwe (Manicaland region, Shona population)",1988-1989,0.8,(Scrimgeour & Pfumojena 1992),http://web.stanford.edu/group/hopes/cgi-bin/hopes_test/population-genetics-and-hd/#africa
